	Tweets	full_tweet	ID	Username	Date	Hashtags	Retweeted	Source	Likes	Retweets	Date_in_seconds	Geo	Coordinates
0	Oxxxymiron / Баста / Noize MC. Мы будем целиком снимать концерт #ябудупетьсвоюмузыку и транслировать его бесплатно… https://t.co/ucNsy7dfNC		1.0670671366512886e+18	tvrain	Mon Nov 26 14:46:45 +0000 2018	[Hashtag(Text='ябудупетьсвоюмузыку')]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	114.0	38.0	1543243605.0		
1	"#ябудупетьсвоюмузыку
ААААА Баста, Нойз и Окси на сцене теперь вместе. Поют песню «Моя игра»! https://t.co/UXcIwD3xrE https://t.co/sy8UsPSkZ7"		1.0671503773243474e+18	tvrain	Mon Nov 26 20:17:31 +0000 2018	[Hashtag(Text='ябудупетьсвоюмузыку')]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	185.0	33.0	1543263451.0		
2	"Я БУДУ ПЕТЬ СВОЮ МУЗЫКУ: 
Баста, Oxxxymiron, Noize MC.

Концерт солидарности. 

26 ноября, Главклуб, Москва. 

Вся… https://t.co/hhJwCmh9u4"		1.0663728207945564e+18	norimyxxxo	Sat Nov 24 16:47:47 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	19140.0	4073.0	1543078067.0		
3	"Мне понравилось видео ""Баста feat. Noize MC и Oxxxymiron - Моя игра (Концерт солидарности"		1.0675159185389445e+18	3JIoYXyJIGaH2	Tue Nov 27 20:30:03 +0000 2018	[]	0.0	"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>"	0.0	0.0	1543350603.0		
4	"RT @norimyxxxo: Я БУДУ ПЕТЬ СВОЮ МУЗЫКУ: 
Баста, Oxxxymiron, Noize MC.

Концерт солидарности. 

26 ноября, Главклуб, Москва. 

Вся инфа и б…"		1.0675147195175076e+18	Anna91581678	Tue Nov 27 20:25:17 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	4073.0	1543350317.0		
5	RT @Maiskolpino: Рэпер Баста выступил на концерте в поддержку рэпера Хаски. https://t.co/I5fOd0Iyxf		1.0675146783545917e+18	Vasilisa_An	Tue Nov 27 20:25:07 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	48.0	1543350307.0		
6	RT @meduzaproject: В конце концерта «Мою игру» хором пели все — Баста, Нойз, Мирон, Фейс, Андрей Бледный из группы 25/17 и даже Рома Жиган…		1.0675138627176776e+18	MsFinkelshtein	Tue Nov 27 20:21:52 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	366.0	1543350112.0		
7	"Мне понравилось видео ""неДетская Карусель / Баста - Сyчкa ФСБ"""		1.0675138322334761e+18	romanorsk92	Tue Nov 27 20:21:45 +0000 2018	[]	0.0	"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>"	0.0	0.0	1543350105.0		
8	"RT @KoleNikita: Чтобы вы понимали!

На одной сцене:

Face, Рома Жиган, PLC, MARKUL, Киевстонер, 25\17, Касс, Thomas Mrvz, May Wave$, Локими…"		1.0675125163754701e+18	Staeh_Imaim	Tue Nov 27 20:16:31 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	152.0	1543349791.0		
9	"Мне понравилось видео ""неДетская Карусель / Баста - Сyчкa ФСБ"""		1.0675109831644201e+18	Jam_eZ1	Tue Nov 27 20:10:26 +0000 2018	[]	0.0	"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>"	0.0	0.0	1543349426.0		
